m/z,Retention time,Intensity
421.75881432447994,3379.488345716622,1818846976.0
415.2119220712014,11223.97253394553,1212434944.0
791.3679793367543,10972.0805194415,1068384000.0
422.2934958262141,11226.66905890306,923970176.0
842.5102469733439,3378.971300496269,904427008.0
652.0247211975038,4916.292402663955,847390592.0
714.3459242687092,5380.917067310724,799105088.0
710.37837438301,7197.065562766886,726403008.0
895.9505517000899,6217.003581986374,698978176.0
495.29296066326657,5463.303062773028,622281216.0
477.3054785213692,5252.397297207082,612326016.0
590.8145593066894,4260.476840223332,578817792.0
472.7695252822831,4631.341488304872,577276096.0
432.2380437780132,11224.80955502212,547002688.0
521.3066191603613,4085.424433381562,535020096.0
663.3813683122993,3283.4504537909243,519397504.0
416.25062951330057,3711.776175851579,480182496.0
516.8013856472681,2426.810429532683,479162912.0
435.7744427604434,3591.1222503943704,466464096.0
565.3145190533049,4635.772493547229,461289696.0
695.3469755485488,4316.5531279651605,459657696.0
599.8568394424567,4198.989001576555,448715904.0
515.3007652393786,4909.666303256994,388029408.0
569.2933480670713,3761.6991509300237,383649984.0
587.3223971210687,3589.701660828714,375800192.0
977.5342459893454,4915.773909871786,372663104.0
515.7878665029218,4483.321227423666,367698400.0
672.8414731746811,5110.504410370069,361197312.0
418.1691328079136,10975.65948561591,346765600.0
450.26894031948297,3511.9223539258887,343997696.0
737.704912396976,5629.0061958143515,339190592.0
1007.5061561945578,4613.292932778022,337239104.0
777.8791230936737,3815.5555322372475,327898304.0
957.1398610225395,3756.1196497556884,323465088.0
428.766446786231,3472.083957685583,320870592.0
414.28493615108994,11063.22459632344,319205184.0
618.348697543711,9097.31149023124,319137696.0
851.4571143132688,7351.0446906615825,315310208.0
500.7875333038495,3873.6893073047436,314161984.0
953.4971460696103,6241.052501262944,309431392.0
966.0857115374013,7893.855834765668,307870112.0
614.3023177801207,2205.5551175285773,306526208.0
836.4985819380474,11225.33531292511,304159712.0
733.3493948657439,2658.088249817816,302568192.0
567.7754353963273,1491.1513168962404,295265696.0
683.3598894344934,3638.454053347595,292848096.0
730.3500134590182,2747.135438084428,287805792.0
660.8400140348098,7062.881746186872,285757696.0
404.2036255585155,2938.6651821349883,283173696.0
894.467560327871,5674.055051155614,272699104.0
442.59010443381055,3283.514465789712,269057312.0
758.0336997725906,5625.712524994567,264106208.0
541.7488966516956,5131.532375624919,257519296.0
611.82510499224,2402.4503238194993,253804000.0
488.7280051872802,2160.635932753498,251363008.0
540.2597702260314,2378.035490848504,250848800.0
622.3304952028174,3654.2459084426764,250174000.0
831.4937884205724,3711.4144444702742,244976608.0
654.6628113587897,2920.7432773470778,240875296.0
639.358541902292,6573.649311466317,240549792.0
418.2071455828646,7894.408348401868,239603296.0
409.2583503833074,11012.29078359068,239457792.0
513.3089306225169,3975.797173425111,235404800.0
523.2859175533212,2566.0854455789968,231774592.0
425.71919582106034,2540.1674045000123,230337408.0
400.240357795737,4199.020777386706,227600608.0
742.3765252677996,5686.46074646957,226577696.0
425.7323811912661,4285.727990618935,223266592.0
912.99686888893,5743.995122512729,219643808.0
715.4100034053557,2643.8356146187657,219488896.0
453.73747652336226,1609.8789374123844,219461296.0
425.76668028124914,3106.508769431966,216949792.0
599.7652624586617,1648.9937834199675,211686496.0
646.3797510740824,9561.437565528104,206287296.0
480.2592071048867,7756.840540898368,205714208.0
1004.4484837425172,6609.040262175205,203931200.0
581.3131043772355,4046.5853521584063,202544096.0
444.2955828302301,11011.95023257757,202443808.0
553.2909181068147,1781.9962432957602,202161696.0
1058.061845117067,5856.486694857199,200915504.0
566.7675366596783,3194.7239987128373,200640608.0
488.2646852633433,1626.3153019569845,197786704.0
793.3655801705704,10971.88717631113,197220304.0
718.3648256649233,11370.51667720939,197131008.0
646.3798043604803,9493.683161105626,191295904.0
706.399107738726,4845.171599194375,191075104.0
686.3298495343824,1677.9321210731055,189746400.0
544.7723295189205,3031.2214614736667,186555392.0
537.3016396260434,3302.8318798127125,186490304.0
582.3147999293427,6293.983990757614,185855104.0
634.3414877961443,2983.109913677363,183026096.0
451.2687998863995,11088.90775502693,182063200.0
449.7585220503955,2668.5149092968886,180158496.0
932.1093908756006,6619.13720884949,178938704.0
523.280005602336,2394.3041382191395,176725104.0
596.81981029731,2217.509939404472,175231504.0
757.3967135035399,5754.3106542498945,174904704.0
902.4222567299755,4102.824913019624,171118400.0
435.7198090320762,2025.8065682961865,170786496.0
595.3130518973572,5779.385554058553,169879696.0
644.434137225933,3939.7361665922026,169456896.0
906.9478647880401,2388.0376877418776,168670208.0
520.3007372673393,6002.895191770894,168310800.0
466.73809703340805,1780.2761423879483,159973904.0
1108.0371808578566,7112.754564590869,159492496.0
781.402225797832,4591.181178089918,156299104.0
453.34345634875575,5949.457695581481,154102704.0
690.8962894372461,6738.136304863856,152491008.0
437.1933020521816,11221.30314136667,151672400.0
408.73245760638065,1630.6021260599591,151151504.0
655.8553586711272,6761.846360120058,151089504.0
689.350439128886,3867.1106336798152,150872400.0
762.0523718163173,3693.5596544649975,150199104.0
923.4531435865314,2855.1936875649503,150152000.0
744.3544392697555,4481.050736329393,150012192.0
629.7993709384465,1313.4633236154023,149943200.0
909.7768045765276,2744.4222711039138,149427600.0
430.31639138353273,8810.894380568023,146359104.0
609.8238283555426,2420.226869845725,146031808.0
633.324434508622,3127.9083149846338,145373296.0
584.802162720097,1261.5527315475767,144385600.0
508.22241225382953,10743.5176287413,144342096.0
846.4431009448588,11224.88273816915,144265200.0
818.3681743998103,2731.9077350600282,143311696.0
671.0319154000073,5003.199591050308,142973904.0
453.20860480070934,7415.970860875591,142111200.0
672.4044109256054,3378.2930919693395,137536704.0
790.8870585310019,2592.180377624039,136798096.0
888.9057070208914,4365.146842503402,132149200.0
793.3895219055196,3525.0017306949658,131494704.0
944.531487117304,4631.095574824998,131341696.0
830.4514151139306,7158.764973466015,131100200.0
850.4311278990766,2540.043097000957,129775504.0
853.8904340142874,2082.1407271654352,128177296.0
689.3185173520636,3437.888119142098,127695600.0
547.801400570115,3233.1374414079637,127219904.0
666.854092138296,3841.295721866136,127078704.0
1106.0543825256052,5628.007375310221,126857400.0
454.2659878648784,4473.593326366263,126334496.0
739.3561050752371,2158.62669810051,125468304.0
577.2818298009355,3903.593445238427,125468200.0
722.6815756069273,4197.955265479161,124314496.0
848.9205357720667,6842.737160492056,124219800.0
540.2721286979912,3300.220509932761,123930304.0
899.5304916257335,3512.1529396382375,120841400.0
664.8278623864662,4013.5776249518726,119540000.0
627.3279874846352,2504.7541353239662,119177904.0
1136.5481402750788,5625.211450328405,119042400.0
414.21860526162175,4062.7674474314717,118716200.0
479.787843193994,1482.1390193737093,118681200.0
984.1592718180868,4347.541642149517,118078800.0
423.2532436972732,2834.281516265114,117381504.0
812.9490304823736,6938.229019591555,116951296.0
504.76683972355505,2408.1301242807617,116519104.0
710.3776495686742,5768.887356481467,115472896.0
1397.6613241348684,6618.533762101372,113446704.0
569.496018027264,11959.26032092695,113320600.0
545.3120208710624,2645.679375493948,113300496.0
1052.5412808239603,5351.529582704347,113049104.0
677.8153473223389,1383.2860404593746,112990704.0
499.34768718898533,9305.312727566537,112305696.0
839.1315854495074,6783.95984518162,112169104.0
594.8273297609669,5542.039510115483,111716096.0
586.3260890264669,6314.7814823255185,111246304.0
400.77138508569834,3025.1235266524645,111089696.0
793.8819422264389,3728.5462651647927,110555696.0
676.84192839597,5904.711250958002,110365600.0
981.4913013962536,2920.7164771546886,110258896.0
668.6627381186258,2498.921306416354,109956000.0
637.8666006933245,6550.888653109227,109119696.0
869.7355873530647,5496.7556020406155,108970304.0
892.4653469676787,5779.406404446003,108153800.0
534.3141075559007,4039.5340657221523,108092400.0
591.8095736778125,4446.859705133109,108060800.0
989.578569802463,5462.3522047943525,106568400.0
412.7536217092231,3379.0584243443673,105899800.0
600.3409764908205,5973.446079032887,105727000.0
644.3929969199208,7895.691244142478,105272200.0
673.3142882356351,4073.5557345118295,104811600.0
646.8330142994279,3431.471625236444,104661504.0
672.8253023558509,3772.657973186607,104082400.0
486.3061286194563,11088.47679898419,103504096.0
614.8178248986312,2646.4247831789203,103251104.0
953.6035673272193,5252.474628610749,102949600.0
651.8261686775842,1562.320457469938,102881904.0
987.1224361200082,3496.067784275979,102529696.0
1029.5944978160333,4909.832190458894,102242496.0
743.4414789550989,3378.3075259257294,102034600.0
541.2801163868608,2947.8597847494266,101685296.0
807.3999897541865,2938.3062941447174,98574064.0
488.2790758492612,4240.705952954429,98328112.0
738.8883990187611,7374.456722795762,98231248.0
654.8309760364857,1561.1872478199748,98180248.0
453.34347001249915,5346.941107709681,98113120.0
1041.6059058422168,4084.7478969496933,97695712.0
652.3052941911003,2024.1103287227238,96855472.0
901.7503462423425,3104.235712578744,96811832.0
530.7853799277133,1492.6310254078203,96141840.0
882.4053910563385,6449.339982491617,96025632.0
837.8919825321333,5236.629313184217,95676864.0
878.9855855867878,6314.408897555093,95214864.0
657.8362159636283,4093.735495354672,94319208.0
505.8158964220756,5400.709473508122,94301504.0
477.1587101098281,9881.20349986709,94083432.0
494.30855316912243,4593.598284595597,94032576.0
618.3279887493721,1854.7522897978986,93672280.0
863.7994540526652,7491.886019306171,93052144.0
679.5118194443081,7786.4601558432805,93045600.0
1000.5678395852066,3873.46897199711,92777448.0
457.78714047109946,3324.9515287335907,92739088.0
489.60623374633985,5936.56585721141,92046384.0
572.8142373687016,4908.257952788652,91718608.0
560.3068026921849,8396.615621844518,91521936.0
606.4005936157613,11216.73816310252,91436704.0
657.8750368139262,5001.441927490961,90920704.0
597.8275030708692,4639.6550464212405,90879320.0
781.8999787549845,3315.926938563903,90822368.0
557.3107748504144,2420.1615969678533,90424528.0
771.928273761922,7589.816645201922,90343432.0
499.7468917901228,6206.474106057678,89734600.0
671.8593195932586,3807.3566340987904,89546352.0
508.29272555781273,4261.021183209845,89528280.0
717.8667541220389,4093.761795985267,88723080.0
514.7905227531303,4548.914564218464,88677960.0
556.3020475357615,1205.0243712770189,88457472.0
565.8013475411037,4532.1195304367,87786176.0
448.18215249613127,11029.67103244966,87483488.0
669.3596118395644,9701.129715469913,87476992.0
487.2986655798892,2643.53632010128,87271488.0
1129.6224911692252,4635.528696821957,87155920.0
635.6362367189153,3607.3949650171508,87140240.0
675.3563037174149,3798.6663816409077,87108848.0
773.9027987744779,3402.269887926132,86990312.0
1242.5765445935226,7514.778407665902,86960808.0
1180.6220611995213,4260.4437964263525,86945240.0
449.250730407092,11010.97964935827,86355752.0
412.18222679148965,10773.24869711115,85865480.0
744.8704260593723,3735.030603579178,85758464.0
514.8038372866242,4199.286004374832,85503432.0
