15N,1H,i
100.54,6.01957,0.000157349
100.54,6.03914,0.000482734
100.54,6.0587,0.00122429
100.54,6.17611,0.000713075
100.54,6.19568,0.00108821
100.54,6.23482,7.92015e-05
100.54,6.25439,0.000982782
100.54,6.27395,0.000324326
100.54,6.29352,4.41745e-05
100.54,6.31309,0.000655187
100.54,6.33266,0.00106031
100.54,6.37179,0.000440707
100.54,6.39136,0.000577508
100.54,6.4305,0.000415538
100.54,6.4892,0.000147238
100.54,6.54791,4.37256e-05
100.54,6.56747,0.00129583
100.54,6.58704,7.47032e-05
100.54,6.62618,0.000165133
100.54,6.64575,0.000602109
100.54,6.66532,0.000838825
100.54,6.68488,0.000494547
100.54,6.70445,0.000350531
100.54,6.74359,0.000470532
100.54,6.80229,0.000580598
100.54,6.82186,0.000797521
100.54,6.88056,0.000398112
100.54,6.9197,0.000162924
100.54,6.93927,8.00621e-05
100.54,6.95884,0.00014364
100.54,6.9784,0.000477573
100.54,6.99797,0.000230277
100.54,7.07625,0.00128877
100.54,7.11538,0.000833603
100.54,7.13495,0.000521848
100.54,7.17409,0.000684423
100.54,7.19365,0.000338905
100.54,7.21322,0.000293778
100.54,7.25236,1.32751e-05
100.54,7.29149,8.94871e-05
100.54,7.31106,0.000298833
100.54,7.36977,0.000623973
100.54,7.38933,0.000892615
100.54,7.4089,0.000560474
100.54,7.46761,0.00076182
100.54,7.48717,0.00100789
100.54,7.50674,0.000489218
100.54,7.52631,0.000751562
100.54,7.54588,7.28108e-06
100.54,7.56545,0.000364436
100.54,7.58502,9.57754e-05
100.54,7.64372,0.00062638
100.54,7.66329,0.000579178
100.54,7.70242,0.000177659
100.54,7.72199,0.000604359
100.54,7.74156,0.00246167
100.54,7.76113,0.000824431
100.54,7.80026,0.000665337
100.54,7.81983,7.5344e-06
100.54,7.8394,0.000290962
100.54,7.85897,0.000613658
100.54,7.87854,0.000836223
100.54,7.8981,0.00106317
100.54,7.93724,0.000327229
100.54,8.01551,0.000109171
100.54,8.03508,0.000205167
100.54,8.07422,0.0006625
100.54,8.09379,0.000524089
100.54,8.11335,0.000726119
100.54,8.15249,0.00032413
100.54,8.17206,0.000428533
100.54,8.25033,0.00111721
100.54,8.2699,0.000453811
100.54,8.30903,0.000374898
100.54,8.3286,9.79453e-05
100.54,8.34817,0.000101358
100.54,8.36774,0.00047588
100.54,8.50472,0.00015164
100.54,8.52428,0.000162533
100.54,8.54385,0.000113348
100.54,8.58299,0.000730442
100.54,8.60256,0.000674138
100.54,8.62212,0.000647873
100.54,8.64169,0.000530396
100.54,8.66126,0.000472996
100.54,8.7004,0.000485864
100.54,8.79824,0.000533914
100.54,8.81781,0.000358785
100.54,8.85694,4.10657e-05
100.54,8.87651,0.00116184
100.54,8.89608,9.65782e-06
100.54,8.95478,0.00015467
100.54,8.99392,0.000498125
100.54,9.05262,0.000734938
100.54,9.1896,0.000155667
100.54,9.20917,0.000270739
100.54,9.22874,0.000596711
100.54,9.2483,0.00102281
100.54,9.26787,0.000409279
100.54,9.28744,7.61114e-05
100.54,9.30701,0.000312435
100.54,9.36571,0.000338914
100.54,9.38528,0.000691464
100.54,9.44398,0.00019302
100.54,9.48312,0.000624951
100.54,9.50269,0.000564933
100.54,9.56139,0.000212148
100.54,9.60053,0.000292683
100.54,9.6201,0.00088805
100.54,9.65923,0.000236241
100.54,9.6788,0.000721328
100.54,9.69837,0.00115009
100.54,9.71794,0.000287168
100.54,9.79621,0.0011824
100.54,9.81578,0.000566047
100.54,9.83535,0.00119132
100.54,9.85491,0.00067885
100.54,9.87448,0.000106307
100.54,9.89405,0.000215121
100.54,9.91362,0.000594286
100.54,10.031,0.000573244
100.54,10.0506,0.000376523
100.54,10.0702,5.96438e-05
100.54,10.1093,0.00059366
100.54,10.1484,0.0015864
100.54,10.2267,0.000341417
100.54,10.2658,0.000764666
100.54,10.3637,0.00044325
100.54,10.4224,0.000532018
100.54,10.442,0.000781583
100.54,10.4811,0.000134841
100.54,10.5007,0.000480153
100.54,10.5594,0.000766054
100.54,10.6181,0.000601992
100.54,10.6376,4.80078e-05
100.54,10.6768,0.000879757
100.54,10.6963,0.000162747
100.54,10.7355,0.000432201
100.54,10.755,0.000245569
100.54,10.7746,0.000269214
100.54,10.7942,0.000373589
100.54,10.8138,0.000117494
100.54,10.8333,4.13191e-05
100.54,10.9116,0.0011393
100.54,10.9312,0.00141819
100.54,10.9507,8.24761e-05
100.54,10.9899,0.000165259
100.608,6.01957,9.72711e-05
100.608,6.03914,0.000462709
100.608,6.0587,0.00121177
100.608,6.17611,0.000607938
100.608,6.19568,0.00108821
100.608,6.23482,7.41947e-05
100.608,6.25439,0.00108792
100.608,6.27395,0.000539606
100.608,6.29352,0.000246938
100.608,6.31309,0.000565069
100.608,6.33266,0.00088007
100.608,6.37179,0.000450721
100.608,6.39136,0.000387259
100.608,6.41093,4.59347e-05
100.608,6.4305,0.000475617
100.608,6.46963,0.000191612
100.608,6.4892,2.70829e-05
100.608,6.54791,0.000223961
100.608,6.56747,0.0012708
100.608,6.58704,0.000204872
100.608,6.62618,0.000130087
100.608,6.64575,0.000509489
100.608,6.66532,0.000688629
100.608,6.68488,0.000502057
100.608,6.70445,0.000515746
100.608,6.74359,0.00053061
100.608,6.80229,0.000570584
100.608,6.82186,0.000687378
100.608,6.88056,0.00035806
100.608,6.90013,2.54977e-05
