15N,1H,i
100.675,8.89608,0.000392526
100.675,8.91565,0.000191092
100.675,8.97435,0.000242982
100.675,8.99392,0.000165321
100.675,9.01349,0.000400979
100.675,9.05262,0.000224575
100.675,9.15046,0.000248559
100.675,9.17003,0.000448365
100.675,9.2483,0.000391141
100.675,9.34614,0.000176348
100.675,9.50269,0.000211909
100.675,9.58096,0.000412028
100.675,9.85491,0.000115775
100.675,9.91362,7.58134e-05
100.675,10.031,0.00022386
100.675,10.0506,0.00045101
100.675,10.1876,0.000462268
100.675,10.2267,9.35495e-05
100.675,10.2463,0.000521049
100.675,10.2854,4.33698e-05
100.675,10.3245,0.000222661
100.675,10.3441,3.02084e-05
100.675,10.442,0.000419222
100.675,10.4615,8.38749e-05
100.675,10.4811,0.000542168
100.675,10.5007,0.000338353
100.675,10.6572,4.25838e-05
100.675,10.6768,0.000159342
100.675,10.6963,0.000412066
100.675,10.8333,4.09223e-05
100.675,10.8725,0.000146225
100.675,10.892,0.000331517
100.675,10.9507,0.000364874
100.675,10.9703,0.000593249
100.743,6.0587,0.000127506
100.743,6.07827,0.00138007
100.743,6.09784,0.00094191
100.743,6.11741,0.000267275
100.743,6.13698,0.000201542
100.743,6.21525,5.22248e-05
100.743,6.25439,0.000177179
100.743,6.27395,0.000128627
100.743,6.35223,0.000791613
100.743,6.4305,0.000434835
100.743,6.45007,0.00014649
100.743,6.50877,0.000559855
100.743,6.52834,2.92845e-05
100.743,6.62618,0.000268705
100.743,6.66532,0.000661831
100.743,6.68488,0.000320803
100.743,6.72402,0.000868741
100.743,6.76316,0.000156015
100.743,6.80229,0.000242472
100.743,6.84143,0.00079295
100.743,6.88056,0.000248246
100.743,6.9197,0.00040777
100.743,6.95884,0.000866201
100.743,7.01754,0.000120454
100.743,7.11538,5.83343e-05
100.743,7.15452,0.000354819
100.743,7.17409,0.00057542
100.743,7.23279,0.000228364
100.743,7.33063,0.000103224
100.743,7.42847,6.85193e-05
100.743,7.44804,0.000124238
100.743,7.50674,0.000117578
100.743,7.52631,0.000494689
100.743,7.54588,0.000104021
