15N,1H,i
100.54,6.0,0.000603843
100.54,6.01957,0.00057115
100.54,6.09784,0.000286955
100.54,6.11741,0.000397403
100.54,6.13698,4.32879e-06
100.54,6.15654,8.60542e-05
100.54,6.17611,0.000101198
100.54,6.21525,0.000424653
100.54,6.27395,0.000320837
100.54,6.33266,0.000279605
100.54,6.35223,0.000580873
100.54,6.37179,0.0002097
100.54,6.41093,8.51974e-05
100.54,6.4305,0.000173602
100.54,6.46963,0.000133943
100.54,6.4892,0.000169657
100.54,6.50877,7.14511e-05
100.54,6.58704,0.000290923
100.54,6.64575,0.000273105
100.54,6.66532,0.000134513
100.54,6.68488,5.6982e-05
100.54,6.74359,0.000838678
100.54,6.82186,0.000352036
100.54,6.88056,0.000468321
100.54,6.9784,0.000253022
100.54,7.01754,0.000618421
100.54,7.07625,0.000386406
100.54,7.09581,0.00118753
100.54,7.15452,0.000353776
100.54,7.23279,5.84759e-05
100.54,7.29149,0.000388604
100.54,7.3502,0.000110015
100.54,7.36977,0.000122409
100.54,7.42847,0.000414874
100.54,7.50674,5.74179e-05
100.54,7.54588,0.000641752
100.54,7.56545,6.68764e-05
100.54,7.60458,0.000212934
100.54,7.72199,0.000441477
100.54,7.74156,0.00124326
100.54,7.76113,0.000912819
100.54,7.7807,0.00244001
100.54,7.85897,5.88745e-05
100.54,7.8981,0.000713769
100.54,7.91767,0.000274993
100.54,7.95681,0.000402205
100.54,8.01551,1.3791e-05
100.54,8.05465,0.000114754
100.54,8.09379,0.000151515
100.54,8.11335,0.000237472
100.54,8.17206,0.000287998
100.54,8.2699,0.000192389
100.54,8.3286,0.000360094
100.54,8.50472,0.000180036
100.54,8.54385,0.000774287
100.54,8.56342,5.27576e-05
100.54,8.64169,7.613e-05
100.54,8.66126,0.000424996
100.54,8.71996,0.000521138
100.54,8.73953,0.00032967
100.54,8.7591,0.000104725
100.54,8.77867,0.000963297
100.54,8.99392,0.000125006
100.54,9.01349,9.43989e-06
100.54,9.03305,0.000108737
