15N,1H,i
100.54,6.01957,6.62282e-05
100.54,6.07827,0.000490377
100.54,6.09784,0.00028299
100.54,6.23482,0.000387713
100.54,6.25439,0.000372279
100.54,6.27395,3.49041e-05
100.54,6.29352,0.000573263
100.54,6.31309,0.000789681
100.54,6.33266,0.000464654
100.54,6.39136,0.000119733
100.54,6.52834,0.00058564
100.54,6.54791,6.67423e-05
100.54,6.62618,0.000888631
100.54,6.76316,0.000424096
100.54,6.861,0.000372564
100.54,6.88056,0.000450391
100.54,6.90013,9.65241e-05
100.54,6.9197,0.000313601
100.54,6.93927,0.000347756
100.54,6.95884,0.000355387
100.54,6.99797,0.000188643
100.54,7.03711,0.000689561
100.54,7.25236,3.54182e-05
100.54,7.27193,4.67077e-05
100.54,7.29149,0.000892118
100.54,7.33063,0.000740465
100.54,7.4089,0.000148144
100.54,7.48717,0.000417037
100.54,7.54588,0.000398716
100.54,7.56545,0.000551598
100.54,7.58502,0.000261812
100.54,7.66329,0.000289707
100.54,7.68286,3.89051e-05
100.54,7.70242,5.60824e-05
100.54,7.76113,0.000361875
100.54,7.80026,9.72115e-05
100.54,7.81983,0.0010967
100.54,7.8394,0.00120354
100.54,7.85897,0.00107898
100.54,7.87854,0.000295909
100.54,7.8981,0.000221197
100.54,7.91767,0.00109768
100.54,7.95681,0.00054148
100.54,7.97638,0.000551026
100.54,7.99595,0.00111665
100.54,8.01551,0.000470655
100.54,8.09379,0.000286706
100.54,8.11335,0.000244463
100.54,8.13292,8.97218e-05
100.54,8.25033,0.00106852
100.54,8.2699,0.000906751
100.54,8.30903,0.000642659
100.54,8.3286,0.000313973
100.54,8.44601,0.000172451
100.54,8.46558,2.86717e-05
100.54,8.48515,0.000361403
100.54,8.50472,0.000299025
100.54,8.54385,0.000642546
100.54,8.56342,0.000787953
100.54,8.58299,1.14385e-05
100.54,8.66126,0.000209851
100.54,8.7004,0.000833582
100.54,8.73953,0.000638857
100.54,8.7591,0.000379153
100.54,8.79824,0.001343
100.54,8.83737,0.00148485
100.54,8.85694,0.000359245
100.54,8.87651,1.72257e-05
100.54,8.89608,0.000472743
100.54,8.93521,0.000645688
100.54,8.95478,0.000617836
100.54,9.11133,0.000284126
100.54,9.13089,0.000589512
100.54,9.17003,0.000267385
100.54,9.1896,9.96906e-05
100.54,9.20917,0.000422224
100.54,9.22874,0.000128772
100.54,9.2483,0.000142626
100.54,9.32658,0.000156889
100.54,9.44398,0.000692405
100.54,9.48312,0.00033861
100.54,9.50269,0.000447184
100.54,9.58096,0.000449328
100.54,9.60053,0.00116931
100.54,9.63966,0.00016089
100.54,9.65923,0.000394015
