empirical_peak_idx,theoretical_peak_idx,flow,25C_15N,25C_1H,30C_15N,30C_1H
65,58,0.00022229086607694626,108.233,7.68286,108.301,7.72199
66,57,0.0002485533244907856,108.233,7.70242,108.233,7.74156
69,58,0.0007755029015243053,108.301,7.68286,108.301,7.72199
69,61,0.000276848953217268,108.301,7.68286,108.368,7.72199
73,61,0.0005595342256128787,108.368,7.68286,108.368,7.72199
73,65,0.00029217973351478574,108.368,7.68286,108.436,7.72199
77,65,0.0003454581834375858,108.436,7.68286,108.436,7.72199
77,69,0.00027963006868958473,108.436,7.68286,108.50300000000001,7.72199
81,69,0.0001536690630018711,108.50300000000001,7.68286,108.50300000000001,7.72199
81,73,0.0002525612711906433,108.50300000000001,7.68286,108.571,7.72199
67,60,0.00029528550803661343,108.233,8.7004,108.301,8.71996
67,64,5.5826827883720397e-05,108.233,8.7004,108.368,8.73953
71,63,0.00025764349848031996,108.301,8.7004,108.368,8.71996
71,64,0.0002752969041466713,108.301,8.7004,108.368,8.73953
75,63,0.000186183862388134,108.368,8.7004,108.368,8.71996
75,67,7.736887782812118e-05,108.368,8.7004,108.436,8.71996
75,68,0.0004518206231296062,108.368,8.7004,108.436,8.73953
79,67,0.00023088762536644934,108.436,8.7004,108.436,8.71996
79,71,8.751181885600089e-05,108.436,8.7004,108.50300000000001,8.71996
79,72,0.0005520877428352832,108.436,8.7004,108.50300000000001,8.73953
80,67,0.0002805020660161972,108.436,8.71996,108.436,8.71996
83,71,0.00029866425320506095,108.50300000000001,8.7004,108.50300000000001,8.71996
83,74,5.7563837617635724e-05,108.50300000000001,8.7004,108.571,8.71996
83,75,0.0006153713911771774,108.50300000000001,8.7004,108.571,8.73953
84,71,0.0003204728476703167,108.50300000000001,8.71996,108.50300000000001,8.71996
86,74,0.0003831077367067337,108.571,8.7004,108.571,8.71996
86,77,0.0006179750896990299,108.571,8.7004,108.638,8.73953
87,74,0.00033737355843186376,108.571,8.71996,108.571,8.71996
89,76,0.00047435034066438674,108.638,8.7004,108.638,8.71996
89,79,0.0004792428575456142,108.638,8.7004,108.70599999999999,8.73953
90,76,0.0003153582103550434,108.638,8.71996,108.638,8.71996
90,77,1.2879073619842529e-05,108.638,8.71996,108.638,8.73953
91,80,6.491001695394515e-05,108.70599999999999,8.68083,108.773,8.71996
92,78,0.0005627727136015892,108.70599999999999,8.7004,108.70599999999999,8.71996
92,81,0.0002760331146419048,108.70599999999999,8.7004,108.773,8.73953
93,78,0.00017731022089719772,108.70599999999999,8.71996,108.70599999999999,8.71996
93,79,0.00011742990463972091,108.70599999999999,8.71996,108.70599999999999,8.73953
94,80,0.00011394890025258064,108.773,8.68083,108.773,8.71996
94,82,0.00026385560631752013,108.773,8.68083,108.84100000000001,8.71996
95,80,0.0004595590755343437,108.773,8.7004,108.773,8.71996
95,83,0.00021730726584792137,108.773,8.7004,108.84100000000001,8.73953
96,80,1.553446054458618e-07,108.773,8.71996,108.773,8.71996
96,81,0.00024366052821278572,108.773,8.71996,108.773,8.73953
97,82,0.00023957015946507454,108.84100000000001,8.68083,108.84100000000001,8.71996
97,84,3.487681970000267e-05,108.84100000000001,8.68083,108.908,8.71996
98,83,0.00019687581807374953,108.84100000000001,8.7004,108.84100000000001,8.73953
