15N,1H,i
100.608,9.48312,0.000144761
100.608,9.52226,0.000515446
100.608,9.56139,0.000547584
100.608,9.60053,0.000228442
100.608,9.63966,0.000421796
100.608,9.65923,0.000242192
100.608,9.75707,0.000288978
100.608,9.77664,0.000504564
100.608,9.87448,0.000245254
100.608,9.95275,0.000694375
100.608,10.0115,0.000268124
100.608,10.031,0.000171859
100.608,10.0506,6.03236e-05
100.608,10.0702,0.000118483
100.608,10.1484,0.000298947
100.608,10.168,0.000712842
100.608,10.2658,0.000258882
100.608,10.2854,0.000332329
100.608,10.3637,0.000279725
100.608,10.3833,2.20463e-05
100.608,10.4224,9.7245e-05
100.608,10.442,0.00107476
100.608,10.4615,0.000524994
100.608,10.4811,0.000360437
100.608,10.5007,0.00105117
100.608,10.5202,0.000752337
100.608,10.5594,0.000897113
100.608,10.6963,0.000213806
100.608,10.7355,0.000529978
100.608,10.8138,0.000369824
100.608,10.8333,0.000148419
100.608,10.892,8.06972e-05
100.608,10.9116,0.000121415
100.608,10.9507,5.77495e-05
100.608,10.9899,0.000110965
100.675,6.01957,0.000367701
100.675,6.21525,0.000395756
100.675,6.35223,0.000453189
100.675,6.46963,0.00064569
100.675,6.62618,5.28321e-05
100.675,6.66532,0.000686418
100.675,6.68488,0.00034181
100.675,6.70445,0.000227991
100.675,6.74359,2.36891e-05
100.675,6.76316,0.000254363
100.675,6.78272,0.000356063
100.675,6.93927,0.000204608
100.675,6.99797,8.29995e-06
100.675,7.01754,6.21751e-06
100.675,7.11538,0.000138782
100.675,7.13495,0.000302579
100.675,7.29149,0.000823133
100.675,7.33063,9.44883e-05
100.675,7.3502,0.00101458
100.675,7.36977,0.00057707
100.675,7.38933,0.00036611
100.675,7.4089,0.000538673
100.675,7.42847,0.00114333
100.675,7.44804,0.000390399
100.675,7.52631,0.000134792
100.675,7.56545,0.000239048
100.675,7.60458,6.7547e-05
100.675,7.64372,0.000872664
100.675,7.66329,0.00166638
100.675,7.68286,0.00126541
100.675,7.72199,8.75928e-05
100.675,7.76113,0.000266518
100.675,7.7807,0.000144735
100.675,7.80026,0.000179071
100.675,7.85897,0.000138052
100.675,7.87854,0.000595577
100.675,7.8981,0.000353307
100.675,7.91767,0.000783041
100.675,7.95681,0.00042662
100.675,7.97638,0.000111379
100.675,7.99595,4.72888e-05
100.675,8.13292,0.000963215
100.675,8.17206,0.000715718
100.675,8.3286,0.000964116
100.675,8.34817,0.000438713
100.675,8.36774,0.000497285
100.675,8.40688,0.000185635
100.675,8.44601,0.000164077
100.675,8.48515,0.000504829
100.675,8.54385,0.00016417
100.675,8.56342,0.000119347
100.675,8.77867,0.000922356
100.675,8.89608,7.70018e-06
100.675,8.93521,0.000324059
100.675,8.97435,0.000329442
100.675,8.99392,0.000366285
100.675,9.01349,0.000151973
100.675,9.03305,0.000213567
100.675,9.05262,0.000264984
100.675,9.11133,0.000308707
100.675,9.1896,0.000332251
100.675,9.22874,0.000202805
100.675,9.2483,0.00044778
100.675,9.38528,6.95102e-05
100.675,9.40485,0.000349037
100.675,9.42442,0.00018077
100.675,9.48312,5.10029e-05
100.675,9.52226,0.000594359
100.675,9.56139,0.000426248
100.675,9.60053,9.52296e-05
100.675,9.63966,0.000286885
100.675,9.65923,0.000102188
100.675,9.73751,7.57277e-05
100.675,9.75707,0.000367887
100.675,9.77664,0.000334226
100.675,9.87448,4.84027e-05
100.675,9.95275,0.000694375
100.675,10.0115,0.00017203
100.675,10.031,0.000247799
100.675,10.0506,5.0988e-05
100.675,10.0702,8.83639e-05
100.675,10.1484,0.000299372
100.675,10.168,0.000643689
100.675,10.2658,5.60917e-05
100.675,10.2854,0.000188086
100.675,10.3637,0.000469364
100.675,10.3833,2.16216e-05
100.675,10.4224,4.25167e-05
100.675,10.442,0.000965733
100.675,10.4615,0.000568692
100.675,10.4811,0.000601199
100.675,10.5007,0.000939164
100.675,10.5202,0.000808761
100.675,10.5594,0.000793595
100.675,10.6963,0.00013829
100.675,10.7355,0.000594463
100.675,10.8138,0.00041946
100.675,10.8333,0.000171117
100.675,10.892,0.000238944
100.675,10.9507,5.73248e-05
100.743,6.01957,0.000423279
100.743,6.21525,0.000456847
100.743,6.35223,0.000301309
100.743,6.46963,0.000484478
100.743,6.66532,0.000647813
100.743,6.68488,0.000323355
100.743,6.70445,0.000168599
100.743,6.74359,0.000164542
100.743,6.76316,6.59972e-05
100.743,6.78272,0.000320427
100.743,6.93927,0.000171091
100.743,6.99797,3.88436e-05
100.743,7.11538,0.000214297
100.743,7.13495,0.000345431
100.743,7.29149,0.000657678
100.743,7.33063,3.42429e-05
100.743,7.3502,0.000876483
100.743,7.36977,0.000517249
100.743,7.38933,0.000501871
100.743,7.4089,0.000425402
100.743,7.42847,0.00101627
100.743,7.44804,0.000405673
100.743,7.56545,0.000179656
100.743,7.60458,7.30529e-06
100.743,7.64372,0.000907451
100.743,7.66329,0.00166977
100.743,7.68286,0.00115596
100.743,7.76113,0.000156216
100.743,7.80026,0.000275802
100.743,7.85897,7.56867e-05
100.743,7.87854,0.000624001
100.743,7.8981,0.000525761
100.743,7.91767,0.00067189
100.743,7.95681,0.000435106
100.743,7.99595,9.65036e-05
100.743,8.13292,0.00106546
100.743,8.17206,0.000683475
100.743,8.30903,6.02305e-05
100.743,8.3286,0.00105003
100.743,8.34817,0.000437863
100.743,8.36774,0.000263523
100.743,8.40688,0.000201121
100.743,8.42644,6.18994e-05
100.743,8.44601,0.000157714
100.743,8.48515,0.000523705
100.743,8.54385,0.000237141
100.743,8.56342,0.000237711
100.743,8.77867,0.000856172
100.743,8.89608,3.82476e-05
100.743,8.93521,0.000402119
100.743,8.97435,0.000292107
100.743,8.99392,0.000417408
100.743,9.03305,0.000123627
100.743,9.05262,0.00027474
100.743,9.11133,0.000206888
100.743,9.1896,0.000248037
100.743,9.22874,0.000176288
100.743,9.2483,0.000533901
100.743,9.38528,0.000116814
100.743,9.40485,0.000324007
100.743,9.42442,0.000162315
100.743,9.52226,0.000652902
100.743,9.56139,0.000304915
100.743,9.63966,0.000151973
100.743,9.73751,0.000285942
100.743,9.75707,0.000467163
100.743,9.77664,0.000143528
100.743,9.95275,0.000674009
100.743,10.0115,7.594e-05
100.743,10.031,0.000323739
100.743,10.0506,3.14713e-05
100.743,10.0702,3.7875e-05
100.743,10.1484,0.000299796
100.743,10.168,0.000615265
100.743,10.2854,4.38429e-05
100.743,10.3637,0.000648819
100.743,10.3833,8.34465e-07
100.743,10.442,0.00084652
100.743,10.4615,0.000612389
100.743,10.4811,0.00084196
100.743,10.5007,0.000827163
100.743,10.5202,0.000865187
100.743,10.5594,0.00069008
100.743,10.5985,7.90544e-05
100.743,10.6376,5.20088e-05
100.743,10.6963,4.24124e-05
100.743,10.7159,0.000119887
100.743,10.7355,0.000638586
100.743,10.8138,0.0004691
100.743,10.8333,0.000193816
100.743,10.892,0.000397187
100.743,10.9507,6.7085e-05
100.81,6.01957,0.000498161
100.81,6.21525,0.000485484
100.81,6.31309,1.26064e-05
100.81,6.35223,0.000185065
100.81,6.46963,0.00033864
100.81,6.66532,0.000627026
100.81,6.68488,0.000317842
100.81,6.74359,0.000195086
100.81,6.78272,0.000360094
100.81,6.88056,8.56444e-05
100.81,6.93927,0.000208214
100.81,6.99797,4.21852e-05
100.81,7.01754,3.81432e-05
100.81,7.11538,0.000334095
100.81,7.13495,0.000323582
100.81,7.17409,2.32123e-05
100.81,7.29149,0.000504948
100.81,7.33063,5.58794e-05
100.81,7.3502,0.00076957
100.81,7.36977,0.000570282
100.81,7.38933,0.000624798
100.81,7.4089,0.000292398
100.81,7.42847,0.000761405
100.81,7.44804,0.000398885
100.81,7.56545,0.000147413
100.81,7.64372,0.000872239
100.81,7.66329,0.00168696
100.81,7.68286,0.00122553
100.81,7.76113,0.000121426
100.81,7.80026,0.000301257
100.81,7.87854,0.000737172
100.81,7.8981,0.000657544
100.81,7.91767,0.000577919
100.81,7.93724,6.18473e-05
100.81,7.95681,0.000458758
100.81,7.99595,0.000127472
100.81,8.03508,1.57356e-05
100.81,8.13292,0.00109107
100.81,8.17206,0.00059836
100.81,8.30903,0.000191111
100.81,8.3286,0.00108948
100.81,8.34817,0.000494499
100.81,8.36774,8.42772e-05
100.81,8.40688,0.000175875
100.81,8.42644,0.000321329
100.81,8.44601,0.000157502
100.81,8.46558,3.85568e-06
100.81,8.48515,0.000575941
100.81,8.54385,0.00025199
100.81,8.56342,0.000300288
100.81,8.77867,0.000755623
100.81,8.89608,7.293e-05
100.81,8.93521,0.000386
100.81,8.97435,0.000201423
100.81,8.99392,0.00040802
100.81,9.05262,0.000232317
100.81,9.11133,6.95884e-05
100.81,9.1896,0.000120711
100.81,9.22874,0.00015831
100.81,9.2483,0.000556175
100.81,9.38528,0.000121001
100.81,9.40485,0.000331219
100.81,9.42442,0.000210997
100.81,9.52226,0.00057007
100.81,9.56139,0.000167247
100.81,9.63966,8.3033e-05
100.81,9.73751,0.00050655
100.81,9.75707,0.000557102
100.81,9.85491,0.000135943
100.81,9.95275,0.000705406
100.81,10.0115,2.70456e-05
100.81,10.031,0.000425559
100.81,10.1484,0.000220887
100.81,10.168,0.000559263
100.81,10.1876,1.62795e-06
100.81,10.3637,0.000787284
100.81,10.442,0.000704292
100.81,10.4615,0.000616841
100.81,10.4811,0.00103107
100.81,10.5007,0.00065789
100.81,10.5202,0.000798579
100.81,10.5594,0.000574257
100.81,10.5789,4.63352e-05
100.81,10.5985,0.00015457
100.81,10.6376,0.000156373
100.81,10.6963,2.16216e-05
100.81,10.7159,0.000453983
100.81,10.7355,0.000679314
100.81,10.8138,0.000442158
100.81,10.8333,0.000167403
100.81,10.892,0.00055819
100.81,10.9507,0.000100706
100.878,6.0,0.000213914
100.878,6.01957,0.000573039
100.878,6.03914,0.000199065
100.878,6.21525,0.00051412
100.878,6.31309,0.00022123
100.878,6.35223,6.8821e-05
100.878,6.46963,0.000152078
